record_id,txn_date,fiscal_year,account,department,region,customer_name,customer_email,customer_phone,ssn,credit_card,address,invoice_id,revenue,cogs,gross_profit,operating_expense,net_income,tax_amount,cash_balance,ar_balance,ap_balance
30,2021-07-03,2021,1030,40,East,Customer 00030,customer00030@example.com,212-555-1030,130-40-1030,3782-822463-10005,"30 Market St, Suite 130, New York, NY 10001",INV-000030,6110,2690,3420,1070,2350,493,102910,21230,15870
31,2022-08-04,2022,1031,41,West,Customer 00031,customer00031@example.com,212-555-1031,131-41-1031,6011-0009-9013-9424,"31 Market St, Suite 131, New York, NY 10001",INV-000031,6147,2713,3434,1089,2345,492,103007,21271,15899
32,2023-09-05,2023,1032,42,North,Customer 00032,customer00032@example.com,212-555-1032,132-42-1032,4111-1111-1111-1111,"32 Market St, Suite 132, New York, NY 10001",INV-000032,6184,2736,3448,1108,2340,491,103104,21312,15928
33,2024-10-06,2024,1033,43,South,Customer 00033,customer00033@example.com,212-555-1033,133-43-1033,5555-5555-5555-4444,"33 Market St, Suite 133, New York, NY 10001",INV-000033,6221,2759,3462,1127,2335,490,103201,21353,15957
34,2025-11-07,2025,1034,44,East,Customer 00034,customer00034@example.com,212-555-1034,134-44-1034,3782-822463-10005,"34 Market St, Suite 134, New York, NY 10001",INV-000034,6258,2782,3476,1146,2330,489,103298,21394,15986
35,2021-12-08,2021,1035,10,West,Customer 00035,customer00035@example.com,212-555-1035,135-45-1035,6011-0009-9013-9424,"35 Market St, Suite 135, New York, NY 10001",INV-000035,6295,2805,3490,1165,2325,488,103395,21435,16015
36,2022-01-09,2022,1036,11,North,Customer 00036,customer00036@example.com,212-555-1036,136-46-1036,4111-1111-1111-1111,"36 Market St, Suite 136, New York, NY 10001",INV-000036,6332,2828,3504,1184,2320,487,103492,21476,16044
37,2023-02-10,2023,1037,12,South,Customer 00037,customer00037@example.com,212-555-1037,137-47-1037,5555-5555-5555-4444,"37 Market St, Suite 137, New York, NY 10001",INV-000037,6369,2851,3518,1203,2315,486,103589,21517,16073
38,2024-03-11,2024,1038,13,East,Customer 00038,customer00038@example.com,212-555-1038,138-48-1038,3782-822463-10005,"38 Market St, Suite 138, New York, NY 10001",INV-000038,6406,2874,3532,1222,2310,485,103686,21558,16102
39,2025-04-12,2025,1039,14,West,Customer 00039,customer00039@example.com,212-555-1039,139-49-1039,6011-0009-9013-9424,"39 Market St, Suite 139, New York, NY 10001",INV-000039,6443,2897,3546,1241,2305,484,103783,21599,16131
40,2021-05-13,2021,1040,15,North,Customer 00040,customer00040@example.com,212-555-1040,140-50-1040,4111-1111-1111-1111,"40 Market St, Suite 140, New York, NY 10001",INV-000040,6480,2920,3560,1260,2300,483,103880,21640,16160
41,2022-06-14,2022,1041,16,South,Customer 00041,customer00041@example.com,212-555-1041,141-51-1041,5555-5555-5555-4444,"41 Market St, Suite 141, New York, NY 10001",INV-000041,6517,2943,3574,1279,2295,481,103977,21681,16189
42,2023-07-15,2023,1042,17,East,Customer 00042,customer00042@example.com,212-555-1042,142-52-1042,3782-822463-10005,"42 Market St, Suite 142, New York, NY 10001",INV-000042,6554,2966,3588,1298,2290,480,104074,21722,16218
43,2024-08-16,2024,1043,18,West,Customer 00043,customer00043@example.com,212-555-1043,143-53-1043,6011-0009-9013-9424,"43 Market St, Suite 143, New York, NY 10001",INV-000043,6591,2989,3602,1317,2285,479,104171,21763,16247
44,2025-09-17,2025,1044,19,North,Customer 00044,customer00044@example.com,212-555-1044,144-54-1044,4111-1111-1111-1111,"44 Market St, Suite 144, New York, NY 10001",INV-000044,6628,3012,3616,1336,2280,478,104268,21804,16276
45,2021-10-18,2021,1045,20,South,Customer 00045,customer00045@example.com,212-555-1045,145-55-1045,5555-5555-5555-4444,"45 Market St, Suite 145, New York, NY 10001",INV-000045,6665,3035,3630,1355,2275,477,104365,21845,16305
46,2022-11-19,2022,1046,21,East,Customer 00046,customer00046@example.com,212-555-1046,146-56-1046,3782-822463-10005,"46 Market St, Suite 146, New York, NY 10001",INV-000046,6702,3058,3644,1374,2270,476,104462,21886,16334
47,2023-12-20,2023,1047,22,West,Customer 00047,customer00047@example.com,212-555-1047,147-57-1047,6011-0009-9013-9424,"47 Market St, Suite 147, New York, NY 10001",INV-000047,6739,3081,3658,1393,2265,475,104559,21927,16363
48,2024-01-21,2024,1048,23,North,Customer 00048,customer00048@example.com,212-555-1048,148-58-1048,4111-1111-1111-1111,"48 Market St, Suite 148, New York, NY 10001",INV-000048,6776,3104,3672,1412,2260,474,104656,21968,16392
49,2025-02-22,2025,1049,24,South,Customer 00049,customer00049@example.com,212-555-1049,149-59-1049,5555-5555-5555-4444,"49 Market St, Suite 149, New York, NY 10001",INV-000049,6813,3127,3686,1431,2255,473,104753,22009,16421
50,2021-03-23,2021,1050,25,East,Customer 00050,customer00050@example.com,212-555-1050,150-60-1050,3782-822463-10005,"50 Market St, Suite 150, New York, NY 10001",INV-000050,6850,3150,3700,1450,2250,472,104850,22050,16450
51,2022-04-24,2022,1051,26,West,Customer 00051,customer00051@example.com,212-555-1051,151-61-1051,6011-0009-9013-9424,"51 Market St, Suite 151, New York, NY 10001",INV-000051,6887,3173,3714,1469,2245,471,104947,22091,16479
52,2023-05-25,2023,1052,27,North,Customer 00052,customer00052@example.com,212-555-1052,152-62-1052,4111-1111-1111-1111,"52 Market St, Suite 152, New York, NY 10001",INV-000052,6924,3196,3728,1488,2240,470,105044,22132,16508
53,2024-06-26,2024,1053,28,South,Customer 00053,customer00053@example.com,212-555-1053,153-63-1053,5555-5555-5555-4444,"53 Market St, Suite 153, New York, NY 10001",INV-000053,6961,3219,3742,1507,2235,469,105141,22173,16537
54,2025-07-27,2025,1054,29,East,Customer 00054,customer00054@example.com,212-555-1054,154-64-1054,3782-822463-10005,"54 Market St, Suite 154, New York, NY 10001",INV-000054,6998,3242,3756,1526,2230,468,105238,22214,16566
55,2021-08-28,2021,1055,30,West,Customer 00055,customer00055@example.com,212-555-1055,155-65-1055,6011-0009-9013-9424,"55 Market St, Suite 155, New York, NY 10001",INV-000055,7035,3265,3770,1545,2225,467,105335,22255,16595
56,2022-09-01,2022,1056,31,North,Customer 00056,customer00056@example.com,212-555-1056,156-66-1056,4111-1111-1111-1111,"56 Market St, Suite 156, New York, NY 10001",INV-000056,7072,3288,3784,1564,2220,466,105432,22296,16624
57,2023-10-02,2023,1057,32,South,Customer 00057,customer00057@example.com,212-555-1057,157-67-1057,5555-5555-5555-4444,"57 Market St, Suite 157, New York, NY 10001",INV-000057,7109,3311,3798,1583,2215,465,105529,22337,16653
58,2024-11-03,2024,1058,33,East,Customer 00058,customer00058@example.com,212-555-1058,158-68-1058,3782-822463-10005,"58 Market St, Suite 158, New York, NY 10001",INV-000058,7146,3334,3812,1602,2210,464,105626,22378,16682
59,2025-12-04,2025,1059,34,West,Customer 00059,customer00059@example.com,212-555-1059,159-69-1059,6011-0009-9013-9424,"59 Market St, Suite 159, New York, NY 10001",INV-000059,7183,3357,3826,1621,2205,463,105723,22419,16711
60,2021-01-05,2021,1060,35,North,Customer 00060,customer00060@example.com,212-555-1060,160-70-1060,4111-1111-1111-1111,"60 Market St, Suite 160, New York, NY 10001",INV-000060,7220,3380,3840,1640,2200,462,105820,22460,16740
61,2022-02-06,2022,1061,36,South,Customer 00061,customer00061@example.com,212-555-1061,161-71-1061,5555-5555-5555-4444,"61 Market St, Suite 161, New York, NY 10001",INV-000061,7257,3403,3854,1659,2195,460,105917,22501,16769
62,2023-03-07,2023,1062,37,East,Customer 00062,customer00062@example.com,212-555-1062,162-72-1062,3782-822463-10005,"62 Market St, Suite 162, New York, NY 10001",INV-000062,7294,3426,3868,1678,2190,459,106014,22542,16798
63,2024-04-08,2024,1063,38,West,Customer 00063,customer00063@example.com,212-555-1063,163-73-1063,6011-0009-9013-9424,"63 Market St, Suite 163, New York, NY 10001",INV-000063,7331,3449,3882,1697,2185,458,106111,22583,16827
64,2025-05-09,2025,1064,39,North,Customer 00064,customer00064@example.com,212-555-1064,164-74-1064,4111-1111-1111-1111,"64 Market St, Suite 164, New York, NY 10001",INV-000064,7368,3472,3896,1716,2180,457,106208,22624,16856
65,2021-06-10,2021,1065,40,South,Customer 00065,customer00065@example.com,212-555-1065,165-75-1065,5555-5555-5555-4444,"65 Market St, Suite 165, New York, NY 10001",INV-000065,7405,3495,3910,1735,2175,456,106305,22665,16885
66,2022-07-11,2022,1066,41,East,Customer 00066,customer00066@example.com,212-555-1066,166-76-1066,3782-822463-10005,"66 Market St, Suite 166, New York, NY 10001",INV-000066,7442,3518,3924,1754,2170,455,106402,22706,16914
67,2023-08-12,2023,1067,42,West,Customer 00067,customer00067@example.com,212-555-1067,167-77-1067,6011-0009-9013-9424,"67 Market St, Suite 167, New York, NY 10001",INV-000067,7479,3541,3938,1773,2165,454,106499,22747,16943
68,2024-09-13,2024,1068,43,North,Customer 00068,customer00068@example.com,212-555-1068,168-78-1068,4111-1111-1111-1111,"68 Market St, Suite 168, New York, NY 10001",INV-000068,7516,3564,3952,1792,2160,453,106596,22788,16972
69,2025-10-14,2025,1069,44,South,Customer 00069,customer00069@example.com,212-555-1069,169-79-1069,5555-5555-5555-4444,"69 Market St, Suite 169, New York, NY 10001",INV-000069,7553,3587,3966,1811,2155,452,106693,22829,17001
70,2021-11-15,2021,1070,10,East,Customer 00070,customer00070@example.com,212-555-1070,170-80-1070,3782-822463-10005,"70 Market St, Suite 170, New York, NY 10001",INV-000070,7590,3610,3980,1830,2150,451,106790,22870,17030
71,2022-12-16,2022,1071,11,West,Customer 00071,customer00071@example.com,212-555-1071,171-81-1071,6011-0009-9013-9424,"71 Market St, Suite 171, New York, NY 10001",INV-000071,7627,3633,3994,1849,2145,450,106887,22911,17059
72,2023-01-17,2023,1072,12,North,Customer 00072,customer00072@example.com,212-555-1072,172-82-1072,4111-1111-1111-1111,"72 Market St, Suite 172, New York, NY 10001",INV-000072,7664,3656,4008,1868,2140,449,106984,22952,17088
73,2024-02-18,2024,1073,13,South,Customer 00073,customer00073@example.com,212-555-1073,173-83-1073,5555-5555-5555-4444,"73 Market St, Suite 173, New York, NY 10001",INV-000073,7701,3679,4022,1887,2135,448,107081,22993,17117
74,2025-03-19,2025,1074,14,East,Customer 00074,customer00074@example.com,212-555-1074,174-84-1074,3782-822463-10005,"74 Market St, Suite 174, New York, NY 10001",INV-000074,7738,3702,4036,1906,2130,447,107178,23034,17146
75,2021-04-20,2021,1075,15,West,Customer 00075,customer00075@example.com,212-555-1075,175-85-1075,6011-0009-9013-9424,"75 Market St, Suite 175, New York, NY 10001",INV-000075,7775,3725,4050,1925,2125,446,107275,23075,17175
76,2022-05-21,2022,1076,16,North,Customer 00076,customer00076@example.com,212-555-1076,176-86-1076,4111-1111-1111-1111,"76 Market St, Suite 176, New York, NY 10001",INV-000076,7812,3748,4064,1944,2120,445,107372,23116,17204
77,2023-06-22,2023,1077,17,South,Customer 00077,customer00077@example.com,212-555-1077,177-87-1077,5555-5555-5555-4444,"77 Market St, Suite 177, New York, NY 10001",INV-000077,7849,3771,4078,1963,2115,444,107469,23157,17233
78,2024-07-23,2024,1078,18,East,Customer 00078,customer00078@example.com,212-555-1078,178-88-1078,3782-822463-10005,"78 Market St, Suite 178, New York, NY 10001",INV-000078,7886,3794,4092,1982,2110,443,107566,23198,17262
79,2025-08-24,2025,1079,19,West,Customer 00079,customer00079@example.com,212-555-1079,179-89-1079,6011-0009-9013-9424,"79 Market St, Suite 179, New York, NY 10001",INV-000079,7923,3817,4106,2001,2105,442,107663,23239,17291
80,2021-09-25,2021,1080,20,North,Customer 00080,customer00080@example.com,212-555-1080,180-90-1080,4111-1111-1111-1111,"80 Market St, Suite 180, New York, NY 10001",INV-000080,7960,3840,4120,2020,2100,441,107760,23280,17320
81,2022-10-26,2022,1081,21,South,Customer 00081,customer00081@example.com,212-555-1081,181-91-1081,5555-5555-5555-4444,"81 Market St, Suite 181, New York, NY 10001",INV-000081,7997,3863,4134,2039,2095,439,107857,23321,17349
82,2023-11-27,2023,1082,22,East,Customer 00082,customer00082@example.com,212-555-1082,182-92-1082,3782-822463-10005,"82 Market St, Suite 182, New York, NY 10001",INV-000082,8034,3886,4148,2058,2090,438,107954,23362,17378
83,2024-12-28,2024,1083,23,West,Customer 00083,customer00083@example.com,212-555-1083,183-93-1083,6011-0009-9013-9424,"83 Market St, Suite 183, New York, NY 10001",INV-000083,8071,3909,4162,2077,2085,437,108051,23403,17407
84,2025-01-01,2025,1084,24,North,Customer 00084,customer00084@example.com,212-555-1084,184-94-1084,4111-1111-1111-1111,"84 Market St, Suite 184, New York, NY 10001",INV-000084,8108,3932,4176,2096,2080,436,108148,23444,17436
85,2021-02-02,2021,1085,25,South,Customer 00085,customer00085@example.com,212-555-1085,185-95-1085,5555-5555-5555-4444,"85 Market St, Suite 185, New York, NY 10001",INV-000085,8145,3955,4190,2115,2075,435,108245,23485,17465
86,2022-03-03,2022,1086,26,East,Customer 00086,customer00086@example.com,212-555-1086,186-96-1086,3782-822463-10005,"86 Market St, Suite 186, New York, NY 10001",INV-000086,8182,3978,4204,2134,2070,434,108342,23526,17494
87,2023-04-04,2023,1087,27,West,Customer 00087,customer00087@example.com,212-555-1087,187-97-1087,6011-0009-9013-9424,"87 Market St, Suite 187, New York, NY 10001",INV-000087,8219,4001,4218,2153,2065,433,108439,23567,17523
88,2024-05-05,2024,1088,28,North,Customer 00088,customer00088@example.com,212-555-1088,188-98-1088,4111-1111-1111-1111,"88 Market St, Suite 188, New York, NY 10001",INV-000088,8256,4024,4232,2172,2060,432,108536,23608,17552
89,2025-06-06,2025,1089,29,South,Customer 00089,customer00089@example.com,212-555-1089,189-99-1089,5555-5555-5555-4444,"89 Market St, Suite 189, New York, NY 10001",INV-000089,8293,4047,4246,2191,2055,431,108633,23649,17581
90,2021-07-07,2021,1090,30,East,Customer 00090,customer00090@example.com,212-555-1090,190-10-1090,3782-822463-10005,"90 Market St, Suite 190, New York, NY 10001",INV-000090,8330,4070,4260,2210,2050,430,108730,23690,17610
91,2022-08-08,2022,1091,31,West,Customer 00091,customer00091@example.com,212-555-1091,191-11-1091,6011-0009-9013-9424,"91 Market St, Suite 191, New York, NY 10001",INV-000091,8367,4093,4274,2229,2045,429,108827,23731,17639
92,2023-09-09,2023,1092,32,North,Customer 00092,customer00092@example.com,212-555-1092,192-12-1092,4111-1111-1111-1111,"92 Market St, Suite 192, New York, NY 10001",INV-000092,8404,4116,4288,2248,2040,428,108924,23772,17668
93,2024-10-10,2024,1093,33,South,Customer 00093,customer00093@example.com,212-555-1093,193-13-1093,5555-5555-5555-4444,"93 Market St, Suite 193, New York, NY 10001",INV-000093,8441,4139,4302,2267,2035,427,109021,23813,17697
94,2025-11-11,2025,1094,34,East,Customer 00094,customer00094@example.com,212-555-1094,194-14-1094,3782-822463-10005,"94 Market St, Suite 194, New York, NY 10001",INV-000094,8478,4162,4316,2286,2030,426,109118,23854,17726
95,2021-12-12,2021,1095,35,West,Customer 00095,customer00095@example.com,212-555-1095,195-15-1095,6011-0009-9013-9424,"95 Market St, Suite 195, New York, NY 10001",INV-000095,8515,4185,4330,2305,2025,425,109215,23895,17755
96,2022-01-13,2022,1096,36,North,Customer 00096,customer00096@example.com,212-555-1096,196-16-1096,4111-1111-1111-1111,"96 Market St, Suite 196, New York, NY 10001",INV-000096,8552,4208,4344,2324,2020,424,109312,23936,17784
97,2023-02-14,2023,1097,37,South,Customer 00097,customer00097@example.com,212-555-1097,197-17-1097,5555-5555-5555-4444,"97 Market St, Suite 197, New York, NY 10001",INV-000097,8589,4231,4358,2343,2015,423,109409,23977,17813
98,2024-03-15,2024,1098,38,East,Customer 00098,customer00098@example.com,212-555-1098,198-18-1098,3782-822463-10005,"98 Market St, Suite 198, New York, NY 10001",INV-000098,8626,4254,4372,2362,2010,422,109506,24018,17842
99,2025-04-16,2025,1099,39,West,Customer 00099,customer00099@example.com,212-555-1099,199-19-1099,6011-0009-9013-9424,"99 Market St, Suite 199, New York, NY 10001",INV-000099,8663,4277,4386,2381,2005,421,109603,24059,17871
100,2021-05-17,2021,1100,40,North,Customer 00100,customer00100@example.com,212-555-1100,200-20-1100,4111-1111-1111-1111,"100 Market St, Suite 200, New York, NY 10001",INV-000100,8700,4300,4400,2400,2000,420,109700,24100,17900
101,2022-06-18,2022,1101,41,South,Customer 00101,customer00101@example.com,212-555-1101,201-21-1101,5555-5555-5555-4444,"101 Market St, Suite 201, New York, NY 10001",INV-000101,8737,4323,4414,2419,1995,418,109797,24141,17929
102,2023-07-19,2023,1102,42,East,Customer 00102,customer00102@example.com,212-555-1102,202-22-1102,3782-822463-10005,"102 Market St, Suite 202, New York, NY 10001",INV-000102,8774,4346,4428,2438,1990,417,109894,24182,17958
103,2024-08-20,2024,1103,43,West,Customer 00103,customer00103@example.com,212-555-1103,203-23-1103,6011-0009-9013-9424,"103 Market St, Suite 203, New York, NY 10001",INV-000103,8811,4369,4442,2457,1985,416,109991,24223,17987
104,2025-09-21,2025,1104,44,North,Customer 00104,customer00104@example.com,212-555-1104,204-24-1104,4111-1111-1111-1111,"104 Market St, Suite 204, New York, NY 10001",INV-000104,8848,4392,4456,2476,1980,415,110088,24264,18016
105,2021-10-22,2021,1105,10,South,Customer 00105,customer00105@example.com,212-555-1105,205-25-1105,5555-5555-5555-4444,"105 Market St, Suite 205, New York, NY 10001",INV-000105,8885,4415,4470,2495,1975,414,110185,24305,18045
106,2022-11-23,2022,1106,11,East,Customer 00106,customer00106@example.com,212-555-1106,206-26-1106,3782-822463-10005,"106 Market St, Suite 206, New York, NY 10001",INV-000106,8922,4438,4484,2514,1970,413,110282,24346,18074
107,2023-12-24,2023,1107,12,West,Customer 00107,customer00107@example.com,212-555-1107,207-27-1107,6011-0009-9013-9424,"107 Market St, Suite 207, New York, NY 10001",INV-000107,8959,4461,4498,2533,1965,412,110379,24387,18103
108,2024-01-25,2024,1108,13,North,Customer 00108,customer00108@example.com,212-555-1108,208-28-1108,4111-1111-1111-1111,"108 Market St, Suite 208, New York, NY 10001",INV-000108,8996,4484,4512,2552,1960,411,110476,24428,18132
109,2025-02-26,2025,1109,14,South,Customer 00109,customer00109@example.com,212-555-1109,209-29-1109,5555-5555-5555-4444,"109 Market St, Suite 209, New York, NY 10001",INV-000109,9033,4507,4526,2571,1955,410,110573,24469,18161
110,2021-03-27,2021,1110,15,East,Customer 00110,customer00110@example.com,212-555-1110,210-30-1110,3782-822463-10005,"110 Market St, Suite 210, New York, NY 10001",INV-000110,9070,4530,4540,2590,1950,409,110670,24510,18190
111,2022-04-28,2022,1111,16,West,Customer 00111,customer00111@example.com,212-555-1111,211-31-1111,6011-0009-9013-9424,"111 Market St, Suite 211, New York, NY 10001",INV-000111,9107,4553,4554,2609,1945,408,110767,24551,18219
112,2023-05-01,2023,1112,17,North,Customer 00112,customer00112@example.com,212-555-1112,212-32-1112,4111-1111-1111-1111,"112 Market St, Suite 212, New York, NY 10001",INV-000112,9144,4576,4568,2628,1940,407,110864,24592,18248
113,2024-06-02,2024,1113,18,South,Customer 00113,customer00113@example.com,212-555-1113,213-33-1113,5555-5555-5555-4444,"113 Market St, Suite 213, New York, NY 10001",INV-000113,9181,4599,4582,2647,1935,406,110961,24633,18277
114,2025-07-03,2025,1114,19,East,Customer 00114,customer00114@example.com,212-555-1114,214-34-1114,3782-822463-10005,"114 Market St, Suite 214, New York, NY 10001",INV-000114,9218,4622,4596,2666,1930,405,111058,24674,18306
115,2021-08-04,2021,1115,20,West,Customer 00115,customer00115@example.com,212-555-1115,215-35-1115,6011-0009-9013-9424,"115 Market St, Suite 215, New York, NY 10001",INV-000115,9255,4645,4610,2685,1925,404,111155,24715,18335
116,2022-09-05,2022,1116,21,North,Customer 00116,customer00116@example.com,212-555-1116,216-36-1116,4111-1111-1111-1111,"116 Market St, Suite 216, New York, NY 10001",INV-000116,9292,4668,4624,2704,1920,403,111252,24756,18364
117,2023-10-06,2023,1117,22,South,Customer 00117,customer00117@example.com,212-555-1117,217-37-1117,5555-5555-5555-4444,"117 Market St, Suite 217, New York, NY 10001",INV-000117,9329,4691,4638,2723,1915,402,111349,24797,18393
118,2024-11-07,2024,1118,23,East,Customer 00118,customer00118@example.com,212-555-1118,218-38-1118,3782-822463-10005,"118 Market St, Suite 218, New York, NY 10001",INV-000118,9366,4714,4652,2742,1910,401,111446,24838,18422
119,2025-12-08,2025,1119,24,West,Customer 00119,customer00119@example.com,212-555-1119,219-39-1119,6011-0009-9013-9424,"119 Market St, Suite 219, New York, NY 10001",INV-000119,9403,4737,4666,2761,1905,400,111543,24879,18451
120,2021-01-09,2021,1120,25,North,Customer 00120,customer00120@example.com,212-555-1120,220-40-1120,4111-1111-1111-1111,"120 Market St, Suite 220, New York, NY 10001",INV-000120,9440,4760,4680,2780,1900,399,111640,24920,18480
