Load ID,Pickup Date,Truck ID,Driver Name,Lane,Miles,Revenue USD,Est Cost USD,Profit USD,Profit Margin %
L000067,2025-02-04,T0383,Avery Jones,"Portland, OR → Raleigh, NC",1193,1944.59,2039.39,-94.8,-4.87
L000068,2025-03-29,T0062,Jesse Martin,"Newark, NJ → Birmingham, AL",1376,2352.96,2831.53,-478.57,-20.34
L000069,2025-05-30,T0282,Logan Hernandez,"Chicago, IL → Orlando, FL",771,1781.01,1330.52,450.49,25.29
L000070,2025-09-06,T0051,Riley Hernandez,"Nashville, TN → Philadelphia, PA",1713,3854.25,2728.25,1126.0,29.21
L000071,2025-05-28,T0104,Kai Thomas,"Houston, TX → Orlando, FL",184,658.72,289.44,369.28,56.06
L000072,2025-08-01,T0348,Finley Brown,"Nashville, TN → New York, NY",814,1798.94,1504.4,294.54,16.37
L000073,2025-06-25,T0236,Morgan Gonzalez,"Boston, MA → Baltimore, MD",1562,2702.26,2631.52,70.74,2.62
L000074,2025-04-17,T0219,Kai Thomas,"Memphis, TN → Richmond, VA",575,1443.25,1013.28,429.97,29.79
L000075,2025-09-02,T0280,Emerson Rodriguez,"Columbus, OH → Birmingham, AL",1771,2939.86,3160.46,-220.6,-7.5
L000076,2025-09-03,T0242,Drew Jones,"San Antonio, TX → Buffalo, NY",286,943.8,514.63,429.17,45.47
L000077,2025-04-08,T0378,Harper Rodriguez,"Phoenix, AZ → Jacksonville, FL",256,857.6,454.21,403.39,47.04
L000078,2025-01-25,T0364,Jesse Brown,"Charlotte, NC → Richmond, VA",766,1922.66,1369.62,553.04,28.76
L000079,2025-06-19,T0082,Kai Thomas,"Savannah, GA → Pittsburgh, PA",311,892.57,650.03,242.54,27.17
L000080,2025-08-18,T0322,Emerson Rodriguez,"Memphis, TN → Birmingham, AL",1230,2127.9,2064.33,63.57,2.99
L000081,2025-04-25,T0332,Casey Johnson,"Columbus, OH → San Jose, CA",1570,2841.7,3059.7,-218.0,-7.67
L000082,2025-09-20,T0289,Riley Moore,"San Antonio, TX → Tampa, FL",2270,5629.6,3697.08,1932.52,34.33
L000083,2025-09-08,T0208,Micah Smith,"Atlanta, GA → Pittsburgh, PA",767,1948.18,1309.59,638.59,32.78
L000084,2025-09-07,T0230,Rowan Jackson,"Houston, TX → Buffalo, NY",1237,3055.39,2402.51,652.88,21.37
L000085,2025-03-14,T0164,Hayden Lopez,"Indianapolis, IN → Boise, ID",2054,4066.92,3745.89,321.03,7.89
L000086,2025-05-18,T0186,Hayden Moore,"Dallas, TX → Raleigh, NC",149,478.29,262.33,215.96,45.15
L000087,2025-01-15,T0366,Hayden Garcia,"Atlanta, GA → Tampa, FL",1688,3578.56,2916.07,662.49,18.51
L000088,2025-08-05,T0373,Reese Moore,"Memphis, TN → Louisville, KY",2391,4375.53,4491.66,-116.13,-2.65
L000089,2025-06-19,T0021,Avery Jones,"Memphis, TN → Tampa, FL",1601,2929.83,2893.26,36.57,1.25
L000090,2025-09-11,T0012,Finley Gonzalez,"Seattle, WA → Orlando, FL",967,1750.27,1814.76,-64.49,-3.68
L000091,2025-03-12,T0223,Morgan Jackson,"Columbus, OH → Buffalo, NY",1985,3890.6,3776.76,113.84,2.93
L000092,2025-08-03,T0217,Hayden Martin,"Kansas City, MO → Cincinnati, OH",229,687.0,408.85,278.15,40.49
L000093,2025-05-22,T0102,Hayden Gonzalez,"Newark, NJ → Norfolk, VA",889,2151.38,1567.36,584.02,27.15
L000094,2025-05-18,T0059,Harper Williams,"Seattle, WA → Cincinnati, OH",524,1409.56,994.5,415.06,29.45
L000095,2025-09-19,T0257,Harper Rodriguez,"Memphis, TN → Richmond, VA",873,1693.62,1431.43,262.19,15.48
L000096,2025-05-17,T0326,Morgan Gonzalez,"Chicago, IL → San Diego, CA",1183,2306.85,2103.21,203.64,8.83
L000097,2025-06-24,T0213,Quinn Taylor,"Atlanta, GA → Raleigh, NC",642,1502.28,1182.12,320.16,21.31
L000098,2025-04-15,T0280,Emerson Martin,"Denver, CO → Minneapolis, MN",1768,2899.52,3294.1,-394.58,-13.61
L000099,2025-03-23,T0127,Morgan Jones,"Nashville, TN → San Jose, CA",2186,4896.64,3561.27,1335.37,27.27
L000100,2025-05-18,T0250,Hayden Martin,"Nashville, TN → Baltimore, MD",677,1814.36,1143.7,670.66,36.96
L000101,2025-08-20,T0169,Finley Taylor,"Chicago, IL → Birmingham, AL",1359,2772.36,2144.4,627.96,22.65
L000102,2025-09-08,T0371,Harper Gonzalez,"Memphis, TN → Jacksonville, FL",1905,3314.7,3054.44,260.26,7.85
L000103,2025-03-09,T0301,Rowan Miller,"Atlanta, GA → Buffalo, NY",401,898.24,713.2,185.04,20.6
L000104,2025-01-11,T0264,Morgan Lopez,"Charlotte, NC → Baltimore, MD",2205,4013.1,3548.1,465.0,11.59
L000105,2025-04-20,T0139,Morgan Lopez,"Miami, FL → Salt Lake City, UT",438,1099.38,818.61,280.77,25.54
L000106,2025-07-05,T0204,Jordan Lopez,"Nashville, TN → Salt Lake City, UT",847,1922.69,1510.31,412.38,21.45
L000107,2025-02-07,T0057,Finley Jones,"Houston, TX → Cincinnati, OH",1713,3682.95,2630.78,1052.17,28.57
L000108,2025-01-15,T0361,Emerson Jackson,"Columbus, OH → Richmond, VA",1357,3121.1,2368.67,752.43,24.11
L000109,2025-08-14,T0017,Cameron Moore,"Seattle, WA → Salt Lake City, UT",1451,2379.64,2670.2,-290.56,-12.21
L000110,2025-09-17,T0293,Alex Williams,"Kansas City, MO → Norfolk, VA",637,1592.5,989.48,603.02,37.87
L000111,2025-08-04,T0371,Rowan Brown,"Los Angeles, CA → New York, NY",491,1502.46,808.39,694.07,46.2
L000112,2025-05-13,T0007,Jordan Gonzalez,"Denver, CO → Norfolk, VA",2132,5074.16,3590.8,1483.36,29.23
L000113,2025-05-18,T0309,Cameron Davis,"Miami, FL → Philadelphia, PA",2385,5914.8,4612.77,1302.03,22.01
L000114,2025-01-07,T0188,Alex Johnson,"Memphis, TN → Raleigh, NC",1527,2458.47,2668.88,-210.41,-8.56
L000115,2025-07-16,T0077,Hayden Anderson,"Kansas City, MO → Tampa, FL",1482,3304.86,2674.25,630.61,19.08
L000116,2025-02-17,T0144,Harper Wilson,"Kansas City, MO → Philadelphia, PA",636,1736.28,1300.42,435.86,25.1
L000117,2025-04-25,T0138,Taylor Rodriguez,"Indianapolis, IN → Tampa, FL",2352,4374.72,4097.41,277.31,6.34
L000118,2025-08-18,T0370,Casey Gonzalez,"Atlanta, GA → Buffalo, NY",332,879.8,575.47,304.33,34.59
L000119,2025-07-16,T0005,Drew Williams,"Savannah, GA → Jacksonville, FL",120,432.0,305.11,126.89,29.37
L000120,2025-08-16,T0070,Alex Johnson,"Boston, MA → Jacksonville, FL",2466,4438.8,4474.59,-35.79,-0.81
L000121,2025-03-16,T0071,Jesse Martin,"Portland, OR → Minneapolis, MN",1735,3678.2,2893.76,784.44,21.33
L000122,2025-03-22,T0089,Taylor Williams,"Los Angeles, CA → Raleigh, NC",608,1909.12,1063.61,845.51,44.29
L000123,2025-07-13,T0323,Harper Gonzalez,"Phoenix, AZ → Pittsburgh, PA",708,1854.96,1294.67,560.29,30.2
L000124,2025-04-09,T0297,Drew Rodriguez,"Miami, FL → Cincinnati, OH",1590,2687.1,2886.43,-199.33,-7.42
L000125,2025-03-27,T0159,Reese Williams,"Columbus, OH → Birmingham, AL",933,2033.94,1805.11,228.83,11.25
L000126,2025-04-15,T0111,Quinn Anderson,"Los Angeles, CA → Jacksonville, FL",2186,3738.06,3601.69,136.37,3.65
L000127,2025-06-24,T0036,Alex Martin,"Los Angeles, CA → Raleigh, NC",880,2103.2,1743.47,359.73,17.1
L000128,2025-07-22,T0325,Rowan Garcia,"San Antonio, TX → Buffalo, NY",1014,2251.08,1559.59,691.49,30.72
L000129,2025-03-03,T0335,Rowan Thomas,"Indianapolis, IN → Boise, ID",998,1786.42,1687.68,98.74,5.53
L000130,2025-03-04,T0257,Hayden Lopez,"Nashville, TN → San Jose, CA",234,727.74,470.9,256.84,35.29
L000131,2025-05-01,T0133,Jesse Williams,"Newark, NJ → Minneapolis, MN",1616,2731.04,2935.06,-204.02,-7.47
L000132,2025-02-17,T0109,Jordan Thomas,"Nashville, TN → Jacksonville, FL",661,1745.04,1064.15,680.89,39.02
L000133,2025-05-17,T0076,Taylor Gonzalez,"Columbus, OH → Pittsburgh, PA",1182,2233.98,2063.57,170.41,7.63
L000134,2025-03-13,T0372,Alex Jones,"Kansas City, MO → Jacksonville, FL",2039,5015.94,3195.96,1819.98,36.28
L000135,2025-01-01,T0009,Kai Hernandez,"Charlotte, NC → Richmond, VA",324,923.4,562.71,360.69,39.06
L000136,2025-09-03,T0015,Harper Lopez,"Savannah, GA → Cincinnati, OH",1416,2393.04,2291.34,101.7,4.25
L000137,2025-03-31,T0369,Avery Jones,"Miami, FL → Pittsburgh, PA",1396,3406.24,2438.78,967.46,28.4
L000138,2025-05-30,T0193,Avery Anderson,"Nashville, TN → Birmingham, AL",2045,3681.0,3546.12,134.88,3.66
L000139,2025-05-05,T0026,Cameron Moore,"Nashville, TN → Baltimore, MD",2433,5376.93,4420.21,956.72,17.79
L000140,2025-06-26,T0124,Cameron Moore,"Seattle, WA → Salt Lake City, UT",1523,3777.04,2494.56,1282.48,33.95
L000141,2025-06-05,T0163,Finley Martin,"Los Angeles, CA → Milwaukee, WI",184,609.04,317.65,291.39,47.84
L000142,2025-07-26,T0242,Taylor Rodriguez,"Atlanta, GA → Minneapolis, MN",369,981.54,712.61,268.93,27.4
L000143,2025-06-26,T0119,Harper Gonzalez,"Charlotte, NC → Richmond, VA",1560,3884.4,2615.78,1268.62,32.66
L000144,2025-08-21,T0142,Emerson Rodriguez,"Indianapolis, IN → Pittsburgh, PA",261,916.11,448.43,467.68,51.05
L000145,2025-07-03,T0298,Jesse Williams,"Dallas, TX → San Diego, CA",2078,3823.52,3676.9,146.62,3.83
L000146,2025-05-18,T0156,Jesse Lopez,"Dallas, TX → New York, NY",1643,2891.68,3237.75,-346.07,-11.97
L000147,2025-03-21,T0191,Harper Martin,"Los Angeles, CA → Philadelphia, PA",1987,3556.73,3549.53,7.2,0.2
L000148,2025-04-04,T0261,Harper Davis,"Kansas City, MO → Milwaukee, WI",1881,3197.7,3265.59,-67.89,-2.12
L000149,2025-06-05,T0216,Harper Martin,"Los Angeles, CA → Minneapolis, MN",1571,3833.24,2478.89,1354.35,35.33
L000150,2025-06-21,T0289,Quinn Taylor,"Boston, MA → Buffalo, NY",1907,4634.01,3060.51,1573.5,33.96
L000151,2025-07-28,T0181,Avery Jones,"Phoenix, AZ → Minneapolis, MN",2219,4659.9,4218.16,441.74,9.48
L000152,2025-05-06,T0017,Jordan Lopez,"Columbus, OH → Norfolk, VA",2444,4252.56,4458.72,-206.16,-4.85
L000153,2025-06-19,T0025,Drew Williams,"Miami, FL → Norfolk, VA",2385,5294.7,4635.66,659.04,12.45
L000154,2025-09-16,T0156,Riley Thomas,"Dallas, TX → Tampa, FL",1615,3213.85,2652.52,561.33,17.47
L000155,2025-03-25,T0387,Hayden Martin,"San Antonio, TX → Richmond, VA",2450,5512.5,4806.12,706.38,12.81
L000156,2025-03-31,T0242,Jordan Thomas,"Dallas, TX → San Jose, CA",1219,2364.86,1954.44,410.42,17.36
L000157,2025-08-25,T0160,Alex Thomas,"Houston, TX → Buffalo, NY",434,1271.62,671.6,600.02,47.19
L000158,2025-02-06,T0071,Hayden Gonzalez,"Indianapolis, IN → Baltimore, MD",828,1341.36,1320.85,20.51,1.53
L000159,2025-09-19,T0124,Reese Moore,"Memphis, TN → Birmingham, AL",1908,3205.44,3427.7,-222.26,-6.93
L000160,2025-05-31,T0189,Kai Wilson,"San Antonio, TX → Norfolk, VA",742,1840.16,1420.41,419.75,22.81
L000161,2025-08-13,T0387,Emerson Martinez,"Newark, NJ → Boise, ID",981,2246.49,1690.11,556.38,24.77
L000162,2025-07-25,T0255,Hayden Lopez,"Kansas City, MO → Jacksonville, FL",575,1351.25,994.83,356.42,26.38
L000163,2025-09-05,T0184,Jesse Gonzalez,"Houston, TX → Buffalo, NY",2323,3925.87,4249.21,-323.34,-8.24
L000164,2025-02-08,T0345,Hayden Hernandez,"Kansas City, MO → Jacksonville, FL",994,2156.98,1714.62,442.36,20.51
L000165,2025-04-26,T0162,Jordan Thomas,"Miami, FL → Buffalo, NY",244,922.32,430.72,491.6,53.3
L000166,2025-06-25,T0400,Finley Martin,"Chicago, IL → Tampa, FL",148,482.48,262.46,220.02,45.6
L000167,2025-04-27,T0184,Kai Wilson,"Kansas City, MO → Baltimore, MD",2316,5141.52,4285.08,856.44,16.66
L000168,2025-08-01,T0325,Kai Johnson,"Indianapolis, IN → Pittsburgh, PA",1888,4417.92,3439.29,978.63,22.15
L000169,2025-03-27,T0111,Drew Brown,"Chicago, IL → Milwaukee, WI",1773,4343.85,2817.81,1526.04,35.13
L000170,2025-03-10,T0247,Harper Davis,"Chicago, IL → Richmond, VA",173,648.75,294.58,354.17,54.59
L000171,2025-07-16,T0204,Hayden Hernandez,"Boston, MA → Louisville, KY",2045,5112.5,3289.47,1823.03,35.66
L000172,2025-06-12,T0158,Quinn Martinez,"Newark, NJ → San Jose, CA",1112,2001.6,1963.46,38.14,1.91
L000173,2025-02-28,T0355,Jordan Moore,"Indianapolis, IN → San Jose, CA",934,1802.62,1658.11,144.51,8.02
L000174,2025-02-27,T0056,Jordan Lopez,"Houston, TX → Boise, ID",1001,2332.33,2054.44,277.89,11.91
L000175,2025-06-15,T0290,Harper Davis,"Nashville, TN → Boise, ID",606,1345.32,991.97,353.35,26.27
L000176,2025-08-24,T0370,Morgan Gonzalez,"Nashville, TN → Richmond, VA",1346,2153.6,2233.62,-80.02,-3.72
L000177,2025-06-11,T0266,Micah Martinez,"Dallas, TX → Jacksonville, FL",938,2166.78,1684.48,482.3,22.26
L000178,2025-06-10,T0200,Taylor Rodriguez,"Chicago, IL → Boise, ID",1542,3716.22,2779.44,936.78,25.21
L000179,2025-01-02,T0256,Morgan Taylor,"Indianapolis, IN → Richmond, VA",926,2027.94,1689.65,338.29,16.68
L000180,2025-06-29,T0352,Harper Wilson,"Los Angeles, CA → Minneapolis, MN",170,618.8,310.26,308.54,49.86
L000181,2025-04-15,T0277,Hayden Martin,"Portland, OR → Orlando, FL",2112,3886.08,3672.43,213.65,5.5
L000182,2025-09-19,T0148,Avery Jones,"Seattle, WA → Raleigh, NC",816,1476.96,1394.26,82.7,5.6
L000183,2025-06-04,T0108,Morgan Anderson,"Nashville, TN → San Jose, CA",1219,2377.05,2571.15,-194.1,-8.17
L000184,2025-08-03,T0326,Quinn Anderson,"Miami, FL → Birmingham, AL",979,2046.11,1729.66,316.45,15.47
L000185,2025-05-29,T0174,Kai Thomas,"Dallas, TX → Salt Lake City, UT",1502,3124.16,2752.84,371.32,11.89
L000186,2025-03-29,T0347,Kai Thomas,"Portland, OR → Jacksonville, FL",1285,2415.8,2451.63,-35.83,-1.48
L000187,2025-01-26,T0252,Drew Garcia,"Portland, OR → Jacksonville, FL",776,2180.56,1249.91,930.65,42.68
L000188,2025-05-16,T0167,Avery Jones,"Savannah, GA → New York, NY",1854,3077.64,3633.1,-555.46,-18.05
L000189,2025-03-22,T0178,Casey Lopez,"Newark, NJ → Norfolk, VA",397,1103.66,698.22,405.44,36.74
L000190,2025-05-03,T0375,Harper Martin,"Columbus, OH → Norfolk, VA",1003,2266.78,1872.64,394.14,17.39
L000191,2025-01-06,T0388,Drew Jones,"Memphis, TN → Baltimore, MD",2308,4616.0,4176.71,439.29,9.52
L000192,2025-06-26,T0370,Quinn Garcia,"Phoenix, AZ → Norfolk, VA",1809,3979.8,3117.43,862.37,21.67
L000193,2025-04-30,T0073,Hayden Taylor,"Phoenix, AZ → Tampa, FL",1767,3410.31,3065.37,344.94,10.11
L000194,2025-04-22,T0162,Jesse Brown,"Phoenix, AZ → Baltimore, MD",996,2141.4,2124.65,16.75,0.78
L000195,2025-05-03,T0301,Avery Thomas,"Seattle, WA → Louisville, KY",2203,3656.98,4150.82,-493.84,-13.5
L000196,2025-06-15,T0113,Jesse Williams,"Memphis, TN → Milwaukee, WI",1181,2078.56,2478.28,-399.72,-19.23
L000197,2025-01-21,T0176,Hayden Lopez,"Newark, NJ → Buffalo, NY",806,1603.94,1533.15,70.79,4.41
L000198,2025-04-08,T0301,Drew Williams,"Memphis, TN → Boise, ID",1283,2732.79,2449.44,283.35,10.37
L000199,2025-08-16,T0312,Jesse Martinez,"Savannah, GA → Orlando, FL",457,1256.75,821.27,435.48,34.65
L000200,2025-03-12,T0330,Hayden Gonzalez,"Newark, NJ → Salt Lake City, UT",1300,2977.0,2412.51,564.49,18.96
L000201,2025-06-24,T0106,Avery Taylor,"Denver, CO → Richmond, VA",1744,4133.28,2926.45,1206.83,29.2
L000202,2025-01-08,T0209,Morgan Lopez,"Indianapolis, IN → Boise, ID",877,1771.54,1642.92,128.62,7.26
L000203,2025-03-16,T0008,Casey Garcia,"Memphis, TN → Buffalo, NY",1743,3486.0,3404.15,81.85,2.35
L000204,2025-05-14,T0021,Rowan Martinez,"Phoenix, AZ → Norfolk, VA",478,1180.66,899.47,281.19,23.82
L000205,2025-03-02,T0269,Avery Jones,"Portland, OR → Baltimore, MD",1372,2689.12,2255.87,433.25,16.11
L000206,2025-02-21,T0137,Morgan Anderson,"Kansas City, MO → Salt Lake City, UT",1534,3666.26,2352.03,1314.23,35.85
L000207,2025-03-19,T0034,Harper Martin,"Indianapolis, IN → San Jose, CA",2135,4974.55,3573.6,1400.95,28.16
L000208,2025-03-13,T0281,Hayden Gonzalez,"Los Angeles, CA → Birmingham, AL",1512,2600.64,2879.03,-278.39,-10.7
L000209,2025-04-25,T0059,Alex Johnson,"Miami, FL → Pittsburgh, PA",2130,3812.7,4190.12,-377.42,-9.9
L000210,2025-09-04,T0075,Jordan Thomas,"San Antonio, TX → Philadelphia, PA",799,2237.2,1332.25,904.95,40.45
L000211,2025-09-12,T0062,Harper Davis,"Dallas, TX → Cincinnati, OH",1395,3027.15,2433.69,593.46,19.6
L000212,2025-04-26,T0054,Cameron Davis,"Columbus, OH → Norfolk, VA",560,1467.2,1007.28,459.92,31.35
L000213,2025-07-30,T0324,Casey Johnson,"Atlanta, GA → Birmingham, AL",1436,2469.92,2471.23,-1.31,-0.05
L000214,2025-03-29,T0033,Emerson Jackson,"Houston, TX → San Jose, CA",408,1228.08,744.73,483.35,39.36
L000215,2025-01-06,T0215,Quinn Williams,"Chicago, IL → Minneapolis, MN",597,1892.49,959.68,932.81,49.29
L000216,2025-08-21,T0200,Jordan Taylor,"Atlanta, GA → Birmingham, AL",1243,2038.52,2295.36,-256.84,-12.6
L000217,2025-05-04,T0089,Jesse Williams,"San Antonio, TX → Louisville, KY",1589,2971.43,2834.34,137.09,4.61
L000218,2025-03-27,T0268,Logan Hernandez,"Charlotte, NC → Milwaukee, WI",1616,3361.28,3055.1,306.18,9.11
L000219,2025-03-28,T0266,Morgan Jackson,"Miami, FL → San Jose, CA",1443,3593.07,2542.91,1050.16,29.23
L000220,2025-04-18,T0130,Emerson Martinez,"Kansas City, MO → Pittsburgh, PA",1834,3154.48,3265.85,-111.37,-3.53
L000221,2025-07-14,T0068,Logan Miller,"Seattle, WA → Tampa, FL",1535,2609.5,2286.03,323.47,12.4
